index,labels,comment_sentence,comment_clean,combo,combo_clean
0,"[0, 0, 1, 0, 0, 0, 0]",this impl delegates to the old filesystem,impl delegate old filesystem,this impl delegates to the old filesystem | Abfss.java,impl delegate old filesystem | abfss java
1,"[1, 0, 0, 0, 0, 0, 0]",test getfilestatus and related listing operations.,test getfilestatus related listing operation,test getfilestatus and related listing operations. | AbstractContractGetFileStatusTest.java,test getfilestatus related listing operation | abstractcontractgetfilestatustest java
2,"[0, 0, 1, 0, 0, 0, 0]",a filesystem filter which exposes the protected method,filesystem filter expose protected method,a filesystem filter which exposes the protected method | AbstractContractGetFileStatusTest.java,filesystem filter expose protected method | abstractcontractgetfilestatustest java
3,"[0, 0, 1, 0, 0, 0, 0]","@link #listlocatedstatus path, pathfilter .",link listlocatedstatus path pathfilter,"@link #listlocatedstatus path, pathfilter . | AbstractContractGetFileStatusTest.java",link listlocatedstatus path pathfilter | abstractcontractgetfilestatustest java
4,"[0, 0, 1, 0, 0, 0, 0]",the type of launch for the container.,type launch container,the type of launch for the container. | ApplicationConstants.java,type launch container | applicationconstants java
5,"[0, 0, 1, 0, 0, 0, 0]",it can currently handle text and sequence files.,currently handle text sequence file,it can currently handle text and sequence files. | AutoInputFormat.java,currently handle text sequence file | autoinputformat java
6,"[0, 0, 0, 0, 0, 0, 1]",cluster is balanced if each pool in each node is balanced.,cluster balanced pool node balanced,cluster is balanced if each pool in each node is balanced. | BalancingPolicy.java,cluster balanced pool node balanced | balancingpolicy java
7,"[1, 0, 0, 0, 0, 0, 0]",to place as a batch.,place batch,to place as a batch. | BatchedRequests.java,place batch | batchedrequests java
8,"[1, 0, 0, 0, 0, 0, 0]",iterator type.,iterator type,iterator type. | BatchedRequests.java,iterator type | batchedrequests java
9,"[1, 0, 0, 0, 0, 0, 0]",this class maintains the map from a block to its metadata.,class maintains map block metadata,this class maintains the map from a block to its metadata. | BlocksMap.java,class maintains map block metadata | blocksmap java
10,"[1, 0, 0, 0, 0, 0, 1]",utils functions to help block functions.,utils function help block function,utils functions to help block functions. | BlockUtils.java,utils function help block function | blockutils java
11,"[1, 0, 0, 0, 0, 0, 0]",this class implements a @link planfollower .,class implement link planfollower,this class implements a @link planfollower . | CapacitySchedulerPlanFollower.java,class implement link planfollower | capacityschedulerplanfollower java
12,"[1, 0, 0, 0, 0, 0, 0]","this is invoked on a timer, and",invoked timer,"this is invoked on a timer, and | CapacitySchedulerPlanFollower.java",invoked timer | capacityschedulerplanfollower java
13,"[1, 0, 0, 0, 0, 0, 0]",@link capacityscheduler .,link capacityscheduler,@link capacityscheduler . | CapacitySchedulerPlanFollower.java,link capacityscheduler | capacityschedulerplanfollower java
14,"[0, 0, 1, 0, 0, 0, 0]","adding removing resizing leaf queues in the scheduler, thus affecting the",adding removing resizing leaf queue scheduler thus affecting,"adding removing resizing leaf queues in the scheduler, thus affecting the | CapacitySchedulerPlanFollower.java",adding removing resizing leaf queue scheduler thus affecting | capacityschedulerplanfollower java
15,"[0, 0, 1, 0, 0, 0, 0]",dynamic behavior of the scheduler in a way that is consistent with the,dynamic behavior scheduler way consistent,dynamic behavior of the scheduler in a way that is consistent with the | CapacitySchedulerPlanFollower.java,dynamic behavior scheduler way consistent | capacityschedulerplanfollower java
16,"[0, 0, 1, 0, 0, 0, 0]",content of the plan.,content plan,content of the plan. | CapacitySchedulerPlanFollower.java,content plan | capacityschedulerplanfollower java
17,"[0, 0, 1, 0, 0, 0, 0]",are available in the cluster.,available cluster,are available in the cluster. | CapacitySchedulerPlanFollower.java,available cluster | capacityschedulerplanfollower java
18,"[0, 0, 0, 0, 0, 0, 1]","this implementation of planfollower is relatively stateless, and it can",implementation planfollower relatively stateless,"this implementation of planfollower is relatively stateless, and it can | CapacitySchedulerPlanFollower.java",implementation planfollower relatively stateless | capacityschedulerplanfollower java
19,"[0, 0, 0, 0, 0, 0, 1]",differences among existing queues .,difference among existing queue,differences among existing queues . | CapacitySchedulerPlanFollower.java,difference among existing queue | capacityschedulerplanfollower java
20,"[0, 0, 0, 0, 0, 0, 1]","synchronization, and rm restart issues no catch up is necessary .",synchronization rm restart issue catch necessary,"synchronization, and rm restart issues no catch up is necessary . | CapacitySchedulerPlanFollower.java",synchronization rm restart issue catch necessary | capacityschedulerplanfollower java
21,"[0, 0, 1, 0, 0, 0, 0]",the output likely will include wildcards in the classpath.,output likely include wildcards classpath,the output likely will include wildcards in the classpath. | Classpath.java,output likely include wildcards classpath | classpath java
